x,lap,track,exposure,speed,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c45,c46,c47,c48,c49,c51,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c99,c100,c102,c103,c104,c105,c106,c107,c108,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156
121.88088632421,8,2,1,14.7071914679162,0,0,0,0,0,0,0,1.96870594743742,0,0,0,0,0.163466053648929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976805368012933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544886845496429,0,0,0,0,0,0,0,0,0,0,0.488402684006467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23105447266981,0,0,0.244201342003233,0,0,0,0,0,0.54289136855611,0,0,0,0,0.244201342003233,0.488402684006467,0,0.244201342003233,0,0,0.402619946894247,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544886845496429,0,0,0,0,0,0,0,0,0,0,0,0
127.470168377698,8,2,1,16.3412868902416,0,0,0,0,0,0,0,2.4652080520194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48030326343096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859728578338138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1978120780291,0,0,0.402619946894247,0,0,0,0,0,0.566086000543176,0,0,0,0,0.0544886845496429,0.566086000543176,0,0.0544886845496429,0,0,0.244201342003233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544886845496429
130.56728344199,8,2,1,17.306775158592,0,0,0,0,0,0,0,2.66496847212663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87287544767156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7326040260097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8829232103252,0,0,0.244201342003233,0,0,0,0,0,0.787092710559343,0,0,0,0,0,0.841581395108986,0,0,0,0,0.0544886845496429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244201342003233
137.120135893791,8,2,1,17.7265788341629,0,0,0,0,0,0,0,1.67811534146006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88797065908312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566086000543176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19476010621151,0,0,0.0544886845496429,0,0,0,0,0,1.21290728944066,0,0,0,0,0,1.62057468509282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402619946894247
138.692105730092,8,2,1,18.0745161964748,0,0,0.0544886845496429,0,0,0,0,0.516644764751448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11202934091688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651868737655396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108977369099286,0,1.19476010621151,0,0,0,0,0,0,0,0,1.43391399945682,0,0,0,0,0,2.62362665691041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544886845496429,0,0,0,0,0.244201342003233
145.630468391396,8,2,1,18.7400703087279,0,0,0.244201342003233,0,0,0,0,0.0544886845496429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90916981412987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544886845496429,0,0,0,1.35317871110252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488402684006467,0,1.66496847212663,0,0,0,0,0,0,0,0,1.45710863144389,0,0,0,0,0,3.37132589433167,0,0,0,0,0,0,0,0,0,0,0,0,0.163466053648929,0,0,0,0,0,0,0,0,0,0,0,0,0.244201342003233,0,0,0,0,0.0544886845496429
151.011580829007,8,2,1,18.4373879432938,0,0,0.402619946894247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544886845496429,0,0,0,0,0,0,0,0,0,0,0,4.32493663035754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244201342003233,0,0,0,2.34813126234461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544886845496429,0,0,0,0.859728578338138,0.0544886845496429,1.27549539456581,0,0,0,0,0,0,0,0,1.24420134200323,0,0,0,0,0,3.51969673656904,0,0,0,0,0,0,0,0,0,0,0,0,0.7326040260097,0,0,0,0,0,0,0,0,0,0,0,0,0.402619946894247,0,0,0,0,0.108977369099286
157.349504712604,8,2,1,19.4875080742527,0,0,0.244201342003233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244201342003233,0,0,0,0,0,0,0,0,0,0,0,3.05448868454964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402619946894247,0,0,0,2.83653394635107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244201342003233,0,0,0,0.787092710559343,0.244201342003233,0.864776027096053,0,0,0,0,0,0,0,0,1,0,0,0,0,0.163466053648929,3.56103855178526,0,0,0,0,0,0,0,0,0,0,0,0,1.20785984068274,0,0,0,0,0,0,0,0,0,0,0,0,0.244201342003233,0,0,0,0,0.54289136855611
160.557886131768,8,2,1,19.2916994731378,0,0,0.0544886845496429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402619946894247,0,0,0,0,0,0,0,0,0,0,0,1.75579865799677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244201342003233,0,0,0,2.70130997344712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402619946894247,0,0,0,0.755798657996767,0.402619946894247,0.646821288897481,0,0,0.108977369099286,0,0,0,0,0,0.701309973447124,0,0,0,0,0.787092710559343,2.89102263090071,0,0,0,0,0,0,0,0,0,0,0,0,0.7326040260097,0,0,0,0,0,0,0,0,0,0,0,0,0.0544886845496429,0,0,0,0,1.10392992034137
164.861208248171,8,2,1,19.9126895487679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353178711102519,0,0,0,0,0,0,0,0,0,0,0,0.651868737655396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544886845496429,0,0,0,2.18971265745359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298690026552876,0,0,0,0.919264711645695,0.298690026552876,0.298690026552876,0,0,0.488402684006467,0,0,0,0,0,0.298690026552876,0,0,0,0,1.50654986723562,2.00504744875792,0,0,0,0,0,0,0,0,0,0,0,0,0.163466053648929,0.0544886845496429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13522397290395
